X,Y,fid,id,m_from,m_to,distance,angle,route,measure,km,icon_url
-86.952424406149,21.0229870724738,"215","1",0,28268.1722412109,21400,85.9059450288354,"1",7236500,7236+500,./0.png
-86.95146449683,21.0230513101637,"216","1",0,28268.1722412109,21500,85.9059450288354,"1",7236600,7236+600,./0.png
-86.9505045867005,21.0231155424347,"217","1",0,28268.1722412109,21600,85.9059450288354,"1",7236700,7236+700,./0.png
-86.9495446757608,21.0231797692867,"218","1",0,28268.1722412109,21700,85.9059450288354,"1",7236800,7236+800,./0.png
-86.9485847640113,21.0232439907195,"219","1",0,28268.1722412109,21800,85.9059450288354,"1",7236900,7236+900,./0.png
-86.947624780898,21.0233072649024,"220","1",0,28268.1722412109,21900,86.0098437246978,"1",7237000,7237+000,./0.png
-86.946664745106,21.0233698410378,"221","1",0,28268.1722412109,22000,86.0098437246978,"1",7237100,7237+100,./0.png
-86.9457047085259,21.0234324117527,"222","1",0,28268.1722412109,22100,86.0098437246978,"1",7237200,7237+200,./0.png
-86.9447446711579,21.023494977047,"223","1",0,28268.1722412109,22200,86.0098437246978,"1",7237300,7237+300,./0.png
-86.9437846330023,21.0235575369206,"224","1",0,28268.1722412109,22300,86.0098437246978,"1",7237400,7237+400,./0.png
-86.9428245940595,21.0236200913735,"225","1",0,28268.1722412109,22400,86.0098437246978,"1",7237500,7237+500,./0.png
-86.9418645543298,21.0236826404056,"226","1",0,28268.1722412109,22500,86.0098437246978,"1",7237600,7237+600,./0.png
-86.9409045138133,21.0237451840169,"227","1",0,28268.1722412109,22600,86.0098437246978,"1",7237700,7237+700,./0.png
-86.9399444725106,21.0238077222074,"228","1",0,28268.1722412109,22700,86.0098437246978,"1",7237800,7237+800,./0.png
-86.9389844304218,21.0238702549769,"229","1",0,28268.1722412109,22800,86.0098437246978,"1",7237900,7237+900,./0.png
-86.9380243875472,21.0239327823254,"230","1",0,28268.1722412109,22900,86.0098437246978,"1",7238000,7238+000,./0.png
-86.9370643438873,21.0239953042529,"231","1",0,28268.1722412109,23000,86.0098437246978,"1",7238100,7238+100,./0.png
